original_review_id,source,country,reviewId,userName,rating,review,title,date,version,discovery_score,categories,matched_terms,rating_bonus,priority_score,is_discovery_review,selected_for_gpt
6320,Apple App Store,CA,14241787117,Kenzie Web,5,Dj really good and helps me find new songs that i like,Review,2026-06-29T10:26:44-07:00,9.1.60,6,discovery,new songs,0,6,True,False
6358,Apple App Store,CA,14238479353,Brittanyd333,5,"So happy with this service!  I enjoy the fact that I can listen to amazing hits at anytime I want too! Thank you Spotify! Misic for any mood, any event, anything and everything!  All different types of genres tooo! I listen to music literally ALL day, EVERY day! So this is perfect! A very happy customer here!  Will be paying whatever I need to keep this service! 😎😜",Always great playlists!,2026-06-28T15:00:35-07:00,9.1.60,6,"discovery,personalization","genres,mood",0,6,True,False
6372,Apple App Store,CA,14237572667,Baddie000,5,Just love all the songs and playlist from least greatest songs are amazing and I’m just so happy I used Spotify thank you Spotify recommended,Love it,2026-06-28T09:51:58-07:00,9.1.60,6,"recommendation,playlist","playlist,recommended",0,6,True,False
208,Google Play,IN,1473d59e-6737-47c5-a234-f0d2a5130a78,Everest Johnson,4,"Very good quality of music and a very wide variety. But a lot, and I mean a lot, of adds.",,2026-07-02 08:47:47,9.1.60.1970,5,discovery,variety,1,6,True,False
1300,Google Play,IN,87436275-f8c2-4b32-8400-11f62e77166e,Irene Iyoha,4,The recommendations are crazzzzzzzzy. it's like diving into your head and playing WHAT YOU WANT 🥰 if it was free I would have gave it a 5star 😂 but the premium is worth every penny,,2026-06-30 22:54:11,9.1.52.1394,5,recommendation,recommendations,1,6,True,False
1482,Google Play,IN,896d2c1c-45aa-439b-a591-f4fcb9c7d64a,Daniyal Raza,4,"Spotify has a great music library and a user-friendly interface, making it easy to discover and enjoy music. However, the free version has far too many ads. The advertisements are too frequent and interrupt the listening experience, making it frustrating to use. Reducing the number of ads or spacing them out better would greatly improve the app. Overall, it's a good platform, but the excessive ads are a major downside.",,2026-06-30 18:20:27,9.1.60.1970,5,discovery,discover,1,6,True,False
3179,Google Play,IN,489fb17c-5326-45ec-bc1d-b4690454f6cb,Chinmay Mishra (Chinmay),4,"very average audio quality for the subscription fees, more of making music social than actually caring about sound quality, however, like the variety of songs.",,2026-06-28 14:44:18,9.1.60.1970,5,discovery,variety,1,6,True,False
5031,Apple App Store,US,14252305161,Kennedy Foglesong,4,You should give 1 ad every 1 hour on Spotify bc a lot of people are switching to different music platforms bc of to many adds.,Less ads review,2026-07-01T21:53:07-07:00,9.1.60,5,discovery,different music,1,6,True,False
5917,Apple App Store,AU,14219679406,Hungry hippo67,4,There is too many advertisements at one time. Otherwise there is a large variety of music and podcasts.,Advertisement,2026-06-24T00:41:07-07:00,9.1.58,5,discovery,variety,1,6,True,False
6580,Apple App Store,CA,14213890475,Blovs,4,Easy to use and find songs!,Easy to use!,2026-06-22T11:41:46-07:00,9.1.58,5,discovery,find songs,1,6,True,False
6721,Apple App Store,NZ,14223779946,Nanie Rosie,4,"I really enjoy Spotify and the variety it contains. The only thing I don’t understand is, if I am paying premium prices, I still am limited to x amount of hours of audiobook hours?!",Nearly 5 stars,2026-06-25T01:35:32-07:00,9.1.58,5,discovery,variety,1,6,True,False
